track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Watch This - ARIZONATEARS Pluggnb Remix,0FA4wrjDJvJTTU8AepZTup,Lil Uzi Vert & sped up nightcore & ARIZONATEARS,3,2023,2,5,85,1.03,68.60000000000001,163139,89.7,10.3,11,15.3,-7.18,0,3.86,129.975,4,0.355
Boy's a liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,PinkPantheress & Ice Spice,2,2023,2,3,86,25.2,69.6,131013,80.9,0.0127999999999999,5,24.8,-8.254,1,5.0,132.962,4,0.857
Spotless (feat. The Lumineers),0HEytGQM3bG1vKxER7IgVK,Zach Bryan & The Lumineers,2,2023,8,25,82,40.9,60.4,169467,44.4,0.0,0,8.37,-7.695,1,6.98,72.129,4,0.169
Deli,5JYPXqMwYc0zTODQdjMEZN,Ice Spice,1,2023,7,21,83,12.3,78.9,126857,76.3,0.00222,1,13.2,-6.169,1,19.9,140.107,4,0.272
QLONA,5RqSsdzTNPX1uzkmlHCFvK,KAROL G & Peso Pluma,2,2023,8,10,93,52.0,84.1,172798,73.8,0.0,7,8.92,-7.455,0,30.7,169.918,4,0.484
SAY MY GRACE (feat. Travis Scott),2Gk6fi0dqt91NKvlzGsmm7,Offset & Travis Scott,2,2023,10,13,84,5.8500000000000005,77.3,173253,63.5,0.0,10,13.2,-5.06,1,4.52,121.879,4,0.476
Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,Taylor Swift,1,2023,10,26,88,9.76,73.7,231833,72.5,0.0,0,17.4,-5.417,1,6.41,96.012,4,0.755
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,6WzRpISELf3YglGAh7TXcG,The Weeknd & Playboi Carti & Madonna,3,2023,6,2,91,5.69,85.5,215467,67.80000000000001,0.00369,1,41.2,-6.276,1,18.9,99.029,4,0.852
Here With Me,5LrN7yUQAzvthd4QujgPFr,d4vd,1,2023,5,26,89,54.400000000000006,57.1,242485,45.8,0.00927,4,12.3,-9.283,1,2.58,132.025,4,0.299
Ella Baila Sola,3dnP0JxCgygwQH9Gm7q7nb,Eslabon Armado & Peso Pluma,2,2023,3,16,87,48.3,66.8,165671,75.8,0.0018899999999999,5,8.37,-5.176,0,3.32,147.989,3,0.834
Lil Boo Thang,0cVyQfDyRnMJ0V3rjjdlU3,Paul Russell,1,2023,8,18,86,15.2,85.0,114234,69.89999999999999,0.0,0,32.0,-3.292,1,7.76,114.481,4,0.915
You’re Gonna Go Far,4nHJcUtNSUVjXRnjdP29Bk,Noah Kahan,1,2023,6,9,82,59.9,59.0,286369,36.0,0.0,7,11.2,-9.643,1,3.01,169.909,4,0.379
Super Shy,5sdQOyqq2IDhvmx2lHOpwd,NewJeans,1,2023,7,7,90,18.0,77.60000000000001,154667,81.69999999999999,0.00344,5,14.6,-6.018,0,7.48,149.921,4,0.515
Seven (feat. Latto) (Explicit Ver.),7x9aauaA9cu6tyfpHnqDLo,Jung Kook & Latto,2,2023,7,14,93,31.1,80.2,185427,83.2,0.0,11,8.15,-4.107,1,4.34,124.997,4,0.89
One Of Your Girls,5Eh1nj7IjV9lwpcKAkidyY,Troye Sivan,1,2023,10,13,87,8.780000000000001,62.9,181482,65.4,0.655,11,22.0,-7.852,0,5.84,93.034,4,0.799
TULUM,7bPp2NmpmyhLJ7zWazAXMu,Peso Pluma & Grupo Frontera,2,2023,6,29,89,39.4,55.7,209415,86.6,0.0,6,11.0,-4.454,1,5.029999999999999,167.767,4,0.631
